History of Bitcoin value :

[3/10/2022 | 22:4] 16,551.8547

[3/10/2022 | 22:5] 16,579.3556

[3/10/2022 | 22:5] 16,579.3556

[3/10/2022 | 22:5] 16,579.3556

[3/10/2022 | 22:5] 16,579.3556

[3/10/2022 | 22:5] 16,579.3556

[3/10/2022 | 22:6] 16,579.3556

[3/10/2022 | 22:16] 16,586.7312

[3/10/2022 | 22:17] 16,586.7312

[3/10/2022 | 22:17] 16,586.7312

[3/10/2022 | 22:17] 16,586.7312

[3/10/2022 | 22:17] 16,586.7312

[3/10/2022 | 22:17] 16,586.7312

[3/10/2022 | 22:17] 16,586.7312

[3/10/2022 | 22:17] 16,586.7312

[3/10/2022 | 22:17] 16,586.7312

[3/10/2022 | 22:17] 16,586.7312

[3/10/2022 | 22:18] 16,586.7312

[3/10/2022 | 22:18] 16,586.7312

[3/10/2022 | 22:18] 16,586.7312

[3/10/2022 | 22:18] 16,586.7312

[3/10/2022 | 22:56] 16,538.0077

[4/10/2022 | 1:8] 16,663.0785

[4/10/2022 | 17:2] 16,541.4272

[4/10/2022 | 17:3] 16,541.4272

[4/10/2022 | 17:3] 16,541.4272

[4/10/2022 | 17:3] 16,541.4272

[4/10/2022 | 17:3] 16,541.4272

[4/10/2022 | 17:3] 16,541.4272

[4/10/2022 | 17:4] 16,541.4272

[4/10/2022 | 17:4] 16,541.4272

[4/10/2022 | 17:4] 16,541.4272

[4/10/2022 | 17:4] 16,541.4272

[4/10/2022 | 17:4] 16,541.4272

[4/10/2022 | 17:4] 16,541.4272

[4/10/2022 | 17:4] 16,541.4272

[4/10/2022 | 17:4] 16,541.4272

[4/10/2022 | 17:5] 16,541.4272

[4/10/2022 | 17:5] 16,541.4272

[4/10/2022 | 17:5] 16,541.4272

[4/10/2022 | 17:5] 16,541.4272

[4/10/2022 | 17:5] 16,541.4272

[4/10/2022 | 17:5] 16,541.4272

[4/10/2022 | 17:5] 16,541.4272

[4/10/2022 | 17:5] 16,541.4272

[4/10/2022 | 17:5] 16,541.4272

[4/10/2022 | 23:40] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:41] 16,702.1563

[4/10/2022 | 23:42] 16,702.1563

[4/10/2022 | 23:42] 16,702.1563

[4/10/2022 | 23:42] 16,702.1563

[4/10/2022 | 23:43] 16,702.1563

[4/10/2022 | 23:45] 16,702.1563

[4/10/2022 | 23:46] 16,702.1563

[4/10/2022 | 23:48] 16,702.1563

[4/10/2022 | 23:48] 16,705.8161

[4/10/2022 | 23:49] 16,705.8161

[4/10/2022 | 23:49] 16,705.8161

[4/10/2022 | 23:50] 16,705.8161

[4/10/2022 | 23:51] 16,705.8161

[4/10/2022 | 23:53] 16,705.8161

[4/10/2022 | 23:54] 16,705.8161

[4/10/2022 | 23:54] 16,705.8161

[4/10/2022 | 23:56] 16,705.8161

[5/10/2022 | 0:24] 16,700.3358

[5/10/2022 | 0:42] 16,676.4552

[5/10/2022 | 1:53] 16,842.6232

[5/10/2022 | 1:54] 16,842.6232

[5/10/2022 | 1:55] 16,842.6232

[5/10/2022 | 1:55] 16,842.6232

[5/10/2022 | 1:59] 16,842.6232

[5/10/2022 | 1:59] 16,842.6232

[5/10/2022 | 2:0] 16,842.6232

[5/10/2022 | 8:38] 16,783.4776

[5/10/2022 | 8:41] 16,783.4776

[5/10/2022 | 8:45] 16,783.4776

[5/10/2022 | 8:47] 16,756.1190

[5/10/2022 | 8:50] 16,756.1190

[5/10/2022 | 8:51] 16,756.1190

[5/10/2022 | 8:52] 16,756.1190

[5/10/2022 | 8:53] 16,756.1190

[5/10/2022 | 8:56] 16,756.1190

